Catálogo UNICO
Homologación entre los catálogos de SESA y OCRA


ID OCRA	ID SESA	Marca	Descripción 2014	Segmento, Clase	Clasificación
661	286	GENERAL MOTORS	YUKON	MULTIUSOS	AUTOMOVILES
668	274	LOTUS	LOTUS	DEPORTIVO	AUTOMOVILES
670	7481	INTERNATIONAL	INTERNATIONAL	9	TRACTOCAMIONES
674	7486	IMPORTADOS	TRACTOCAMION	9	TRACTOCAMIONES
675	7476	AUTOCAR	AUTOCAR	9	TRACTOCAMIONES
678	7482	KENWORTH	KENWORTH	9	TRACTOCAMIONES
681	7488	RAMIREZ	RAMIREZ	9	TRACTOCAMIONES
683	7493	WHITE	WHITE	9	TRACTOCAMIONES
684	7483	MACK	MACK	9	TRACTOCAMIONES
686	7484	MERCEDES BENZ	MERCEDES BENZ	9	TRACTOCAMIONES
689	7489	SCANIA	SCANIA	9	TRACTOCAMIONES
692	7478	DINA	6 X 2, 6 X 4 TRACTOCAMIÓN	9	TRACTOCAMIONES
695	7492	VOLVO	VOLVO	9	TRACTOCAMIONES
696	7490	STERLING	STERLING	9	TRACTOCAMIONES
698	7487	PEÑA	PEÑA	9	TRACTOCAMIONES
699	7479	FREIGHTLINER	FREIGHTLINER	9	TRACTOCAMIONES
701	9231	ADLY	50-110	N/D	MOTOCICLETAS
702	9232	ADLY	251-650	N/D	MOTOCICLETAS
703	9233	ADLY	111- 250	N/D	MOTOCICLETAS
704	9029	CARABELA	111-250	N/D	MOTOCICLETAS
709	9030	CARABELA	251-650	N/D	MOTOCICLETAS
715	9028	CARABELA	50-110	N/D	MOTOCICLETAS
734	9051	HARLEY-DAVIDSON	1001-2000	N/D	MOTOCICLETAS
736	9055	HONDA	111-250	N/D	MOTOCICLETAS
749	9056	HONDA	251-650	N/D	MOTOCICLETAS
750	9054	HONDA	50-110	N/D	MOTOCICLETAS
758	9057	HONDA	651-1000	N/D	MOTOCICLETAS
805	9058	HONDA	1001-2000	N/D	MOTOCICLETAS
814	9081	KAWASAKI	111-250	N/D	MOTOCICLETAS
815	9080	KAWASAKI	50-110	N/D	MOTOCICLETAS
817	9082	KAWASAKI	251-650	N/D	MOTOCICLETAS
830	9084	KAWASAKI	1000-2000	N/D	MOTOCICLETAS
831	9083	KAWASAKI	651-1000	N/D	MOTOCICLETAS
835	9017	BMW	1001-1500	N/D	MOTOCICLETAS
836	9039	DUCATI	651-1000	N/D	MOTOCICLETAS
838	9188	GEO	111- 250	N/D	MOTOCICLETAS
839	9202	PISTA	50-110	N/D	MOTOCICLETAS
840	9207	SANYANG	111- 250	N/D	MOTOCICLETAS
844	9133	SUZUKI	111-250	N/D	MOTOCICLETAS
845	9134	SUZUKI	251-650	N/D	MOTOCICLETAS
847	9135	SUZUKI	651-1000	N/D	MOTOCICLETAS
848	9132	SUZUKI	50-110	N/D	MOTOCICLETAS
853	9136	SUZUKI	1000-2000	N/D	MOTOCICLETAS
864	9154	VESPA	50-110	N/D	MOTOCICLETAS
865	9155	VESPA	111-250	N/D	MOTOCICLETAS
866	9161	YAMAHA	111-250	N/D	MOTOCICLETAS
867	9163	YAMAHA	651-1000	N/D	MOTOCICLETAS
868	9164	YAMAHA	1001-2000	N/D	MOTOCICLETAS
869	9160	YAMAHA	50-110	N/D	MOTOCICLETAS
870	9162	YAMAHA	251-650	N/D	MOTOCICLETAS
894	9183	GELLY	50-110	N/D	MOTOCICLETAS
895	9077	KAMAJI	50-110	N/D	MOTOCICLETAS
896	9111	MV AGUSTA	651-1000	N/D	MOTOCICLETAS
897	9221	TVS	50-110	N/D	MOTOCICLETAS
898	9118	PIAGGIO	251-650	N/D	MOTOCICLETAS
899	9009	BAJAJ	50-110	N/D	MOTOCICLETAS
900	9152	VENTO	111-250	N/D	MOTOCICLETAS
903	9151	VENTO	50-110	N/D	MOTOCICLETAS
906	9072	ITALIKA	111-250	N/D	MOTOCICLETAS
908	9033	DINAMO	50-110	N/D	MOTOCICLETAS
909	9217	SUNDIRO	111- 250	N/D	MOTOCICLETAS
910	9138	TANK	111-250	N/D	MOTOCICLETAS
911	9165	ZANETTI	50-110	N/D	MOTOCICLETAS
912	9121	POLARIS	251-650	N/D	MOTOCICLETAS
913	9070	ISLO	111-250	N/D	MOTOCICLETAS
914	9220	TOROMEX	111- 250	N/D	MOTOCICLETAS
915	7496	SEMIRREMOLQUES	CAJA SECA	R	SEMIRREMOLQUES
937	7497	SEMIRREMOLQUES	CAJA REFRIGERADA	R	SEMIRREMOLQUES
938	7506	SEMIRREMOLQUES	JAULA GANADERA	R	SEMIRREMOLQUES
941	7513	SEMIRREMOLQUES	VOLTEO	R	SEMIRREMOLQUES
946	7501	SEMIRREMOLQUES	PLATAFORMA ALTA	R	SEMIRREMOLQUES
947	7269	KENWORTH	4 X 2 PLATAFORMA	6	CAMION
966	7508	SEMIRREMOLQUES	DOLLY	R	SEMIRREMOLQUES
977	7157	DINA	4 X 2 CAJA SECA	4	CAMION
979	7164	DINA	6 X 2 CAJA MUDANCERA	7	CAMION
986	7514	SEMIRREMOLQUES	OTRO TIPO DE SEMIRREMOLQUE	R	SEMIRREMOLQUES
1011	7179	DINA	6 X 4 VOLTEO	8	CAMION
1012	7170	DINA	6 X 2 CAJA REDILAS	8	CAMION
1014	7524	DINA	MICROBUS URBANOS	5	AUTOBUS
1016	7542	MASA	AUTOBUS ARTICULADO URBANO	7	AUTOBUS
1017	7552	OSHMEX(SOMEX)	AUTOBUS URBANO	8	AUTOBUS
1018	7546	MERCEDES BENZ	SPRINTER SERVICIO PÚBLICO	3	AUTOBUS
1019	7536	INTERNATIONAL	MICROBUS	5	AUTOBUS
1020	265	SUZUKI	GRAND VITARA	MULTIUSOS	AUTOMOVILES
1022	307	FIAT	STILO SHUMACHER	DEPORTIVO	AUTOMOVILES
1023	192	FIAT	PALIO ADVENTURE	MULTIUSOS	AUTOMOVILES
1024	308	FIAT	IDEA ADVENTURE	MULTIUSOS	AUTOMOVILES
1025	269	MERCURY	MONTEGO	LUJO	AUTOMOVILES
1026	309	MERCURY	MILAN	LUJO	AUTOMOVILES
1027	312	GENERAL MOTORS	MATIZ G2	SUBCOMPACTO	AUTOMOVILES
1028	248	GENERAL MOTORS	G4	COMPACTO	AUTOMOVILES
1029	121	NISSAN	URVAN PASAJEROS	MULTIUSOS	AUTOMOVILES
1032	317	RENAULT	TRAFIC PASAJEROS	MULTIUSOS	AUTOMOVILES
1033	7108	RENAULT	TRAFFIC PANEL	1	COMERCIAL
1034	305	FIAT	PANDA	SUBCOMPACTO	AUTOMOVILES
1036	310	LINCOLN	MKZ	LUJO	AUTOMOVILES
1037	196	LINCOLN	AVIATOR	MULTIUSOS	AUTOMOVILES
1038	311	LINCOLN	MKX	MULTIUSOS	AUTOMOVILES
1039	256	NISSAN	APRIO	SUBCOMPACTO	AUTOMOVILES
1040	490	CHRYSLER	H100 PASAJEROS	MULTIUSOS	AUTOMOVILES
1041	7422	VOLKSWAGEN	4 X 2 CAJA REDILAS	6	CAMION
1043	325	NISSAN	ROGUE	MULTIUSOS	AUTOMOVILES
1044	238	BMW	SERIE Z	DEPORTIVO	AUTOMOVILES
1046	342	VOLVO	C30	LUJO	AUTOMOVILES
1047	231	NISSAN	ARMADA	MULTIUSOS	AUTOMOVILES
1048	9208	SOLARIS VAGGIO	50-110	N/D	MOTOCICLETAS
1049	9210	SOLARIS VAGGIO	111- 250	N/D	MOTOCICLETAS
1050	9209	SOLARIS VAGGIO	251-650	N/D	MOTOCICLETAS
1051	9211	SOLARIS VAGGIO	651-1000	N/D	MOTOCICLETAS
1053	322	TOYOTA	AVANZA	COMPACTO	AUTOMOVILES
1056	9071	ITALIKA	50-110	N/D	MOTOCICLETAS
1057	320	MAZDA	CX9	MULTIUSOS	AUTOMOVILES
1058	331	CHRYSLER	JOURNEY	MULTIUSOS	AUTOMOVILES
1061	316	TOYOTA	FJ CRUISER	MULTIUSOS	AUTOMOVILES
1062	336	PEUGEOT	207	DEPORTIVO	AUTOMOVILES
1063	7111	TOYOTA	TUNDRA PICK UP	1	COMERCIAL
1064	333	SUZUKI	SX4	COMPACTO	AUTOMOVILES
1065	9012	BENGALA	50-110	N/D	MOTOCICLETAS
1066	326	GENERAL MOTORS	CAPTIVA	MULTIUSOS	AUTOMOVILES
1067	328	FAW	F1	SUBCOMPACTO	AUTOMOVILES
1071	329	FAW	F4	SUBCOMPACTO	AUTOMOVILES
1074	330	FAW	F5	SUBCOMPACTO	AUTOMOVILES
1078	264	SUZUKI	AERIO	COMPACTO	AUTOMOVILES
1079	323	TOYOTA	HIGHLANDER	MULTIUSOS	AUTOMOVILES
1080	271	SEAT	ALTEA	DEPORTIVO	AUTOMOVILES
1082	321	SUZUKI	XL7	MULTIUSOS	AUTOMOVILES
1085	7097	NISSAN	CABSTAR CAJA SECA ESTANDAR	2	COMERCIAL
1088	465	LINCOLN	MKS	LUJO	AUTOMOVILES
1089	7266	ISUZU	4 X 2 CAJA REDILAS	4	CAMION
1090	7505	SEMIRREMOLQUES	TANQUE	R	SEMIRREMOLQUES
1092	266	TOYOTA	HIACE	MULTIUSOS	AUTOMOVILES
1093	7562	VOLVO	AUTOBUS URBANO	6	AUTOBUS
1093	7563	VOLVO	AUTOBUS URBANO	7	AUTOBUS
1096	9021	CAGIVA	111-250	N/D	MOTOCICLETAS
1097	9191	JINHAO	111- 250	N/D	MOTOCICLETAS
1098	7220	INTERNATIONAL	4 X 2 CAJA SECA,CHASIS	4	CAMION
1100	7553	SCANIA	AUTOBUS URBANO	8	AUTOBUS
1108	332	CHRYSLER	CHALLENGER	DEPORTIVO	AUTOMOVILES
1109	7081	HINO	CAJA SECA	3	COMERCIAL
1110	7510	SEMIRREMOLQUES	TOLVA CEMENTERA	R	SEMIRREMOLQUES
1111	9075	IZUKA	111-250	N/D	MOTOCICLETAS
1113	9196	LIFAN	251-650	N/D	MOTOCICLETAS
1116	378	FIAT	BRAVO	LUJO	AUTOMOVILES
1117	366	VOLKSWAGEN	GOL	SUBCOMPACTO	AUTOMOVILES
1119	7567	FAMSA	CABINA 6 X 4 3 EJES	9	TRACTOCAMIONES
1120	9174	APRISSA	111- 250	N/D	MOTOCICLETAS
1121	9226	BENELLI	1001-2000	N/D	MOTOCICLETAS
1127	7574	MITSUBISHI	L200 PICK UP DOBLE CABINA	1	COMERCIAL
1129	9214	SUKIDA	111- 250	N/D	MOTOCICLETAS
1130	115	GENERAL MOTORS	GRAN AM	COMPACTO	AUTOMOVILES
1133	9113	PEUGEOT	50-110	N/D	MOTOCICLETAS
1136	240	MERCEDES BENZ	CLASE B	LUJO	AUTOMOVILES
1137	243	MERCEDES BENZ	CLASE CLS	LUJO	AUTOMOVILES
1140	334	AUDI	A5	LUJO	AUTOMOVILES
1141	356	RENAULT	KOLEOS	MULTIUSOS	AUTOMOVILES
1142	372	GENERAL MOTORS	EPICA	COMPACTO	AUTOMOVILES
1143	347	BENTLEY	AZURE	LUJO	AUTOMOVILES
1144	348	BENTLEY	ARNAGE	LUJO	AUTOMOVILES
1145	345	BENTLEY	CONTINENTAL	LUJO	AUTOMOVILES
1150	370	AUDI	Q5	MULTIUSOS	AUTOMOVILES
1151	361	AUDI	R8	LUJO	AUTOMOVILES
1152	371	AUDI	S5	DEPORTIVO	AUTOMOVILES
1153	337	CADILLAC	XRL	DEPORTIVO	AUTOMOVILES
1154	346	VOLKSWAGEN	BORA SPORTWAGEN	COMPACTO	AUTOMOVILES
1155	349	FIAT	ALBEA	SUBCOMPACTO	AUTOMOVILES
1156	350	VOLKSWAGEN	ROUTAN	MULTIUSOS	AUTOMOVILES
1157	352	PORSCHE	CAYMAN	DEPORTIVO	AUTOMOVILES
1158	353	LAMBORGHINI	GALLARDO	DEPORTIVO	AUTOMOVILES
1159	354	LAMBORGHINI	MURCIELAGO	DEPORTIVO	AUTOMOVILES
1160	355	TOYOTA	SEQUOIA	MULTIUSOS	AUTOMOVILES
1161	357	PEUGEOT	308	COMPACTO	AUTOMOVILES
1162	360	BMW	X6	DEPORTIVO	AUTOMOVILES
1163	362	BMW	SERIE 8	LUJO	AUTOMOVILES
1164	363	RENAULT	SAFRANE	COMPACTO	AUTOMOVILES
1165	364	SEAT	FREETRACK	MULTIUSOS	AUTOMOVILES
1166	367	VOLKSWAGEN	TIGUAN	MULTIUSOS	AUTOMOVILES
1167	7071	GIANT	PANEL	1	COMERCIAL
1168	7072	GIANT	PICK-UP	1	COMERCIAL
1171	7078	GENERAL MOTORS	CANYON PICK UP	1	COMERCIAL
1174	368	GENERAL MOTORS	TRAVERSE	MULTIUSOS	AUTOMOVILES
1175	369	NISSAN	370Z	DEPORTIVO	AUTOMOVILES
1176	7590	PEUGEOT	EXPERT TEPEE CARGO	1	COMERCIAL
1177	7572	PEUGEOT	MANAGER CHASIS	2	COMERCIAL
1178	7571	PEUGEOT	MANAGER CARGO VAN	2	COMERCIAL
1179	7067	FIAT	DUCATO CARGO VAN 2.3 L 120 H.P.	3	COMERCIAL
1180	7068	FIAT	DUCATO CARGO VAN 3.0 L 157 H.P.	3	COMERCIAL
1183	7529	FIAT	DUCATO SERVICIO PÚBLICO	3	AUTOBUS
1184	7570	FIAT	PICK-UP STRADA ADVENTURE	1	COMERCIAL
1186	373	GENERAL MOTORS	CRUZE	COMPACTO	AUTOMOVILES
1187	374	VOLKSWAGEN	EOS	DEPORTIVO	AUTOMOVILES
1190	9011	BAJAJ	251-650	N/D	MOTOCICLETAS
1193	44	CHRYSLER	VOYAGER	MULTIUSOS	AUTOMOVILES
1195	9146	TRIUMPH	651-1000	N/D	MOTOCICLETAS
1197	375	TOYOTA	RUSH	MULTIUSOS	AUTOMOVILES
1202	9034	DINAMO	111-250	N/D	MOTOCICLETAS
1204	7036	GENERAL MOTORS	G-30,WAGON,CARGO VAN	3	COMERCIAL
1205	7034	GENERAL MOTORS	CHEYENNE,CHEYENNE SS PICK UP	2	COMERCIAL
1206	9137	TANK	50-110	N/D	MOTOCICLETAS
1209	9224	BRONCO	111- 250	N/D	MOTOCICLETAS
1212	250	GENERAL MOTORS	MONTANA	MULTIUSOS	AUTOMOVILES
1213	7003	CHRYSLER	D-100, H100 PICK UP	1	COMERCIAL
1214	467	MERCEDES BENZ	CLASE GL	LUJO	AUTOMOVILES
1215	7087	MERCEDES BENZ	SPRINTER CARGO VAN (316, 315)	2	COMERCIAL
1216	7088	MERCEDES BENZ	SPRINTER CARGO VAN (416,415)	3	COMERCIAL
1217	7089	MERCEDES BENZ	SPRINTER CAJA SECA (316,315)	2	COMERCIAL
1218	7090	MERCEDES BENZ	SPRINTER CAJA SECA (416,415)	3	COMERCIAL
1219	7578	MERCEDES BENZ	VITO CARGO VAN	1	COMERCIAL
1220	377	FIAT	500	SUBCOMPACTO	AUTOMOVILES
1221	380	HONDA	CITY	COMPACTO	AUTOMOVILES
1223	7009	CHRYSLER	RAM QUAD CAB PICK UP CREW CAB	2	COMERCIAL
1224	7589	CHRYSLER	H 100 CARGA	1	COMERCIAL
1227	9168	SACHS	50-110	N/D	MOTOCICLETAS
1228	9169	SACHS	111-250	N/D	MOTOCICLETAS
1229	9170	XCESS	50-110	N/D	MOTOCICLETAS
1230	9171	XCESS	111-250	N/D	MOTOCICLETAS
1231	9172	XCESS	251-650	N/D	MOTOCICLETAS
1232	9181	DREAM	251-650	N/D	MOTOCICLETAS
1233	233	HUMMER	H3	MULTIUSOS	AUTOMOVILES
1234	9125	QLINK	111-250	N/D	MOTOCICLETAS
1235	441	RENAULT	SANDERO	SUBCOMPACTO	AUTOMOVILES
1237	442	RENAULT	STEPWAY	SUBCOMPACTO	AUTOMOVILES
1238	443	RENAULT	SCALA	COMPACTO	AUTOMOVILES
1239	195	HONDA	PILOT	MULTIUSOS	AUTOMOVILES
1244	477	SUZUKI	KIZASHI	COMPACTO	AUTOMOVILES
1245	7028	GENERAL MOTORS	LUV PICK UP,ESTACAS, CREW CAB	1	COMERCIAL
1246	7580	VOLKSWAGEN	SAVEIRO	1	COMERCIAL
1248	405	GENERAL MOTORS	SPARK	SUBCOMPACTO	AUTOMOVILES
1249	496	CHRYSLER	300	LUJO	AUTOMOVILES
1252	438	VOLKSWAGEN	TRANSPORTER PASAJEROS	MULTIUSOS	AUTOMOVILES
1253	7579	VOLKSWAGEN	AMAROK	1	COMERCIAL
1257	429	MERCEDES BENZ	CLASE SLS	LUJO	AUTOMOVILES
1259	489	MERCEDES BENZ	CLASE R	LUJO	AUTOMOVILES
1265	468	MERCEDES BENZ	CLASE GLK	MULTIUSOS	AUTOMOVILES
1269	390	BMW	X1	DEPORTIVO	AUTOMOVILES
1271	383	AUDI	A1	DEPORTIVO	AUTOMOVILES
1274	388	AUDI	RS5	LUJO	AUTOMOVILES
1276	407	JAGUAR	S	LUJO	AUTOMOVILES
1277	408	JAGUAR	XF	LUJO	AUTOMOVILES
1278	432	PEUGEOT	EXPERT TEPEE PASAJEROS	MULTIUSOS	AUTOMOVILES
1279	431	PEUGEOT	3008	MULTIUSOS	AUTOMOVILES
1280	434	PORSCHE	PANAMERA	DEPORTIVO	AUTOMOVILES
1282	437	TOYOTA	PRIUS	COMPACTO	AUTOMOVILES
1284	400	FERRARI	MODENA	LUJO	AUTOMOVILES
1285	399	FERRARI	MARANELLO	LUJO	AUTOMOVILES
1286	401	FERRARI	456 GT	LUJO	AUTOMOVILES
1287	395	FERRARI	430	LUJO	AUTOMOVILES
1288	398	FERRARI	612	LUJO	AUTOMOVILES
1289	397	FERRARI	599	LUJO	AUTOMOVILES
1290	396	FERRARI	575	LUJO	AUTOMOVILES
1291	402	FERRARI	F355	LUJO	AUTOMOVILES
1292	440	VOLVO	XC60	LUJO	AUTOMOVILES
1293	436	SEAT	CUPRA R TURBO	DEPORTIVO	AUTOMOVILES
1294	229	CADILLAC	SRX	LUJO	AUTOMOVILES
1295	393	CADILLAC	DEVILLE	LUJO	AUTOMOVILES
1297	391	BUICK	ENCLAVE	LUJO	AUTOMOVILES
1298	392	BUICK	LACROSSE	LUJO	AUTOMOVILES
1299	381	ALFA ROMEO	GT	DEPORTIVO	AUTOMOVILES
1300	110	LINCOLN	NAVIGATOR	MULTIUSOS	AUTOMOVILES
1301	324	FORD	TRANSIT PASAJEROS	MULTIUSOS	AUTOMOVILES
1302	406	HUMMER	H2	MULTIUSOS	AUTOMOVILES
1304	412	LAND ROVER	LR	MULTIUSOS	AUTOMOVILES
1306	414	LAND ROVER	RANGE ROVER	MULTIUSOS	AUTOMOVILES
1307	410	LAND ROVER	FREELANDER	MULTIUSOS	AUTOMOVILES
1308	409	LAND ROVER	DISCOVERY	MULTIUSOS	AUTOMOVILES
1310	9027	CAN AM	651-1000	N/D	MOTOCICLETAS
1390	435	RENAULT	FLUENCE	COMPACTO	AUTOMOVILES
1391	460	GENERAL MOTORS	TERRAIN	LUJO	AUTOMOVILES
1392	472	NISSAN	MARCH	SUBCOMPACTO	AUTOMOVILES
1394	498	CHRYSLER	200	LUJO	AUTOMOVILES
1395	5	CHRYSLER	CHRYSLER 600	COMPACTO	AUTOMOVILES
1396	212	SAAB	9-5'	LUJO	AUTOMOVILES
1397	267	LINCOLN	LS	LUJO	AUTOMOVILES
1398	270	LINCOLN	ZEPHYR	LUJO	AUTOMOVILES
1399	314	CADILLAC	BLS	LUJO	AUTOMOVILES
1400	327	MERCEDES BENZ	MAYBACH	LUJO	AUTOMOVILES
1401	389	BENTLEY	602	LUJO	AUTOMOVILES
1402	403	FERRARI	CALIFORNIA	LUJO	AUTOMOVILES
1403	404	FIAT	LINEA	COMPACTO	AUTOMOVILES
1404	464	LAMBORGHINI	JOTA	DEPORTIVO	AUTOMOVILES
1405	456	FERRARI	458	LUJO	AUTOMOVILES
1406	444	PEUGEOT	RCZ	DEPORTIVO	AUTOMOVILES
1407	446	ALFA ROMEO	159	DEPORTIVO	AUTOMOVILES
1408	447	ALFA ROMEO	BRERA	DEPORTIVO	AUTOMOVILES
1409	445	ACURA	ZDX	LUJO	AUTOMOVILES
1410	484	VOLVO	V50	LUJO	AUTOMOVILES
1411	473	NISSAN	VERSA	SUBCOMPACTO	AUTOMOVILES
1412	450	AUDI	ALLROAD	LUJO	AUTOMOVILES
1413	416	MASERATI	GRAN TURISMO	DEPORTIVO	AUTOMOVILES
1414	417	MASERATI	QUATTROPORTE	DEPORTIVO	AUTOMOVILES
1415	493	MASERATI	GRAN CABRIO	DEPORTIVO	AUTOMOVILES
1416	494	PEUGEOT	MANAGER PASAJEROS	MULTIUSOS	AUTOMOVILES
1417	452	CADILLAC	SEVILLE	LUJO	AUTOMOVILES
1418	64	GENERAL MOTORS	CAVALIER MODELO 2004 AL 1995	COMPACTO	AUTOMOVILES
1419	9229	KURAZAI	111- 250	N/D	MOTOCICLETAS
1420	501	VOLKSWAGEN	NUEVO JETTA A6	COMPACTO	AUTOMOVILES
1421	502	GENERAL MOTORS	SONIC	COMPACTO	AUTOMOVILES
1422	9200	MARGIE	111- 250	N/D	MOTOCICLETAS
1423	492	CHRYSLER	I 10	SUBCOMPACTO	AUTOMOVILES
1424	474	MASERATI	GT	DEPORTIVO	AUTOMOVILES
1425	478	MASERATI	COUPE	DEPORTIVO	AUTOMOVILES
1426	491	SEAT	EXEO	COMPACTO	AUTOMOVILES
1427	113	VOLKSWAGEN	BEETLE	SUBCOMPACTO	AUTOMOVILES
1428	495	NISSAN	JUKE	COMPACTO	AUTOMOVILES
1429	503	AUDI	A7	LUJO	AUTOMOVILES
1430	504	FERRARI	APERTA	LUJO	AUTOMOVILES
1431	505	MERCEDES BENZ	VITO	MULTIUSOS	AUTOMOVILES
1432	506	LAND ROVER	DEFENDER	MULTIUSOS	AUTOMOVILES
1433	507	MASERATI	SPYDER	DEPORTIVO	AUTOMOVILES
1434	508	AUDI	S1	DEPORTIVO	AUTOMOVILES
1435	509	AUDI	S7	DEPORTIVO	AUTOMOVILES
1436	512	ALFA ROMEO	MITO	DEPORTIVO	AUTOMOVILES
1437	513	ALFA ROMEO	GIULIETTA	DEPORTIVO	AUTOMOVILES
1438	514	HONDA	ELEMENT	MULTIUSOS	AUTOMOVILES
1439	515	MAZDA	2	DEPORTIVO	AUTOMOVILES
1440	516	NISSAN	LEAF	COMPACTO	AUTOMOVILES
1441	517	PEUGEOT	508	DEPORTIVO	AUTOMOVILES
1442	518	LEXUS	LEXUS	LUJO	AUTOMOVILES
1443	519	CITROEN	C	COMPACTO	AUTOMOVILES
1444	520	CITROEN	DS	COMPACTO	AUTOMOVILES
1445	521	MERCURY	MOUNTAINEER	MULTIUSOS	AUTOMOVILES
1446	522	TATA MOTORS	NANO	SUBCOMPACTO	AUTOMOVILES
1447	523	TATA MOTORS	MANZA	SUBCOMPACTO	AUTOMOVILES
1448	524	TATA MOTORS	VISTA	SUBCOMPACTO	AUTOMOVILES
1449	525	TATA MOTORS	INDICA	SUBCOMPACTO	AUTOMOVILES
1450	526	TATA MOTORS	INDIGO	SUBCOMPACTO	AUTOMOVILES
1451	527	TATA MOTORS	SAFARI	MULTIUSOS	AUTOMOVILES
1452	528	TATA MOTORS	SUMO	MULTIUSOS	AUTOMOVILES
1453	529	ASTON MARTIN	VANTAGE	LUJO	AUTOMOVILES
1454	530	ASTON MARTIN	VANQUISH	LUJO	AUTOMOVILES
1455	531	SSANGYONG	REXTON	MULTIUSOS	AUTOMOVILES
1456	532	CHRYSLER	JEEP RENEGADE	MULTIUSOS	AUTOMOVILES
1457	533	MERCEDES BENZ	VIANO	MULTIUSOS	AUTOMOVILES
1458	534	ZILENT	COURANT	SUBCOMPACTO	AUTOMOVILES
1459	535	ACURA	CL	LUJO	AUTOMOVILES
1460	536	TOYOTA	AVENSIS	COMPACTO	AUTOMOVILES
1461	537	MERCEDES BENZ	CLASE SLR	DEPORTIVO	AUTOMOVILES
1462	538	RENAULT	DUSTER	MULTIUSOS	AUTOMOVILES
1463	539	CHRYSLER	JEEP J-364	MULTIUSOS	AUTOMOVILES
1464	540	CHRYSLER	JEEP WAGONEER	MULTIUSOS	AUTOMOVILES
1465	7001	CHRYSLER	D-150 PICK UP	2	COMERCIAL
1467	7007	CHRYSLER	RAM RUNNER, SRT PICK UP	2	COMERCIAL
1468	7008	CHRYSLER	RAM MEGA PICK UP	2	COMERCIAL
1469	7010	CHRYSLER	D-100 ESTACAS, H100 ESTACAS	1	COMERCIAL
1470	7011	CHRYSLER	RAM VAN, H100 VAN	1	COMERCIAL
1471	7012	CHRYSLER	D-W100,D-W150	1	COMERCIAL
1472	7013	CHRYSLER	H100 CAJA SECA	1	COMERCIAL
1473	7015	CHRYSLER	D-350 ESTACAS, CHASIS CAB, RAM ESTACAS,	3	COMERCIAL
1474	7017	CHRYSLER	D-350,RAM 3500,4000 PLATAFORMA	3	COMERCIAL
1475	7018	CHRYSLER	D-350,RAM 3500,4000 CAJA SECA	3	COMERCIAL
1476	7019	CHRYSLER	D-350,RAM 3500,4000 CAJA MUDANCERA	3	COMERCIAL
1477	7020	CHRYSLER	D-350,RAM 3500,4000 CAJA REFRIGERADA	3	COMERCIAL
1478	7021	CHRYSLER	D-350,RAM 3500,4000 CAJA GRUA	3	COMERCIAL
1479	7022	CHRYSLER	D-350,RAM 3500,4000 CAJA CONTENEDOR	3	COMERCIAL
1480	7023	CHRYSLER	D-350, RAM3500,4000 VOLTEO	3	COMERCIAL
1481	7024	CHRYSLER	D-350,RAM 3500,4000 TANQUE	3	COMERCIAL
1482	7025	CADILLAC	ESCALADE PICK UP	2	COMERCIAL
1483	7027	GENERAL MOTORS	S-10 PICK UP	1	COMERCIAL
1484	7033	GENERAL MOTORS	AVALANCHE PICK UP	2	COMERCIAL
1485	7038	GENERAL MOTORS	P-30, P-31, CARGO VANETTE	3	COMERCIAL
1486	7039	GENERAL MOTORS	C-30,C-35,C-36,C-3500, PLATAFORMA	3	COMERCIAL
1487	7040	GENERAL MOTORS	C-30,35,36,3500 CAJA SECA	3	COMERCIAL
1488	7041	GENERAL MOTORS	C-30,35,36,3500 CAJA MUDANCERA	3	COMERCIAL
1489	7042	GENERAL MOTORS	C-30,35,36, 3500 CAJA REFRIGERADA	3	COMERCIAL
1490	7043	GENERAL MOTORS	C-30,35,36,3500 CAJA GRUA	3	COMERCIAL
1491	7044	GENERAL MOTORS	C-30,35,36,3500 CAJA CONTENEDOR	3	COMERCIAL
1492	7045	GENERAL MOTORS	C-30,35,36,3500 VOLTEO	3	COMERCIAL
1493	7046	GENERAL MOTORS	C-30,35,36,3500 TANQUE	3	COMERCIAL
1494	7049	FORD	EXPLORER SPORT PICK UP	1	COMERCIAL
1495	7051	FORD	F-200, B-200, F- 250 PICK UP	2	COMERCIAL
1496	7054	FORD	RANGER ESTACAS	1	COMERCIAL
1497	7055	FORD	WAGON,ECONOLINE CARGO VAN	2	COMERCIAL
1498	7056	FORD	RANGER CAJA SECA	1	COMERCIAL
1499	7058	FORD	P-330 VANETTE	3	COMERCIAL
1500	7059	FORD	F-350,450,550 PLATAFORMA	3	COMERCIAL
1501	7060	FORD	F-350,450,550 CAJA SECA	3	COMERCIAL
1502	7061	FORD	F-350,450,550 CAJA MUDANCERA	3	COMERCIAL
1503	7062	FORD	F-350,450,550 CAJA REFRIGERADA	3	COMERCIAL
1504	7063	FORD	F-350,450,550 CAJA GRUA	3	COMERCIAL
1505	7064	FORD	F-350,450,550 CAJA CONTENEDOR	3	COMERCIAL
1506	7065	FORD	F-350,450,550 TANQUE	3	COMERCIAL
1507	7066	FORD	F-350,450,550 VOLTEO	3	COMERCIAL
1508	7069	FIAT	DUCATO CAJA SECA VAN	3	COMERCIAL
1509	7070	FIAT	DUCATO CAJA REFRIGERADA	3	COMERCIAL
1510	7073	GIANT	CAJA SECA	1	COMERCIAL
1510	7074	GIANT	CAJA SECA	3	COMERCIAL
