Catálogo UNICO
Homologación entre los catálogos de SESA y OCRA


ID OCRA	ID SESA	Marca	Descripción 2014	Segmento, Clase	Clasificación
131	221	CHRYSLER	VERNA	SUBCOMPACTO	AUTOMOVILES
132	218	CHRYSLER	CROSSFIRE	DEPORTIVO	AUTOMOVILES
133	189	CHRYSLER	PACIFICA	MULTIUSOS	AUTOMOVILES
134	295	CHRYSLER	ASPEN	MULTIUSOS	AUTOMOVILES
138	7092	NISSAN	PICK-UP CORTO,LARGO,DOBLE,KING	1	COMERCIAL
139	24	NISSAN	SAMURAI, SAKURA	SUBCOMPACTO	AUTOMOVILES
141	8	NISSAN	TSURU	SUBCOMPACTO	AUTOMOVILES
144	33	NISSAN	ICHI VAN PASAJEROS	MULTIUSOS	AUTOMOVILES
145	7585	NISSAN	ICHI VAN CARGA	1	COMERCIAL
147	34	NISSAN	HIKARI	DEPORTIVO	AUTOMOVILES
148	7095	NISSAN	ESTACAS CORTO,LARGO, CHASIS,	1	COMERCIAL
151	45	NISSAN	MAXIMA	LUJO	AUTOMOVILES
152	46	NISSAN	300ZX	DEPORTIVO	AUTOMOVILES
153	95	NISSAN	PATHFINDER	MULTIUSOS	AUTOMOVILES
154	77	NISSAN	TSUBAME	COMPACTO	AUTOMOVILES
155	68	NISSAN	240SX	DEPORTIVO	AUTOMOVILES
156	69	INFINITI	INFINITI MODELOS ANTERIORES	LUJO	AUTOMOVILES
158	82	NISSAN	SENTRA	COMPACTO	AUTOMOVILES
159	87	NISSAN	ALTIMA	LUJO	AUTOMOVILES
160	83	NISSAN	LUCINO	DEPORTIVO	AUTOMOVILES
161	96	NISSAN	QUEST	MULTIUSOS	AUTOMOVILES
163	122	NISSAN	XTERRA	MULTIUSOS	AUTOMOVILES
164	7096	NISSAN	ICHI-VAN PANEL, URVAN PANEL	1	COMERCIAL
166	143	NISSAN	ALMERA	DEPORTIVO	AUTOMOVILES
168	161	NISSAN	XTRAIL	MULTIUSOS	AUTOMOVILES
169	168	NISSAN	PLATINA	SUBCOMPACTO	AUTOMOVILES
170	7093	NISSAN	FRONTIER PICK UP	1	COMERCIAL
171	204	NISSAN	MURANO	MULTIUSOS	AUTOMOVILES
172	180	NISSAN	350Z	DEPORTIVO	AUTOMOVILES
173	7094	NISSAN	TITAN PICK UP	2	COMERCIAL
174	230	NISSAN	MICRA	SUBCOMPACTO	AUTOMOVILES
176	276	NISSAN	TIIDA	SUBCOMPACTO	AUTOMOVILES
182	12	FORD	MUSTANG HASTA 84	DEPORTIVO	AUTOMOVILES
187	197	LINCOLN	CONTINENTAL	LUJO	AUTOMOVILES
188	35	FORD	CARRY ALL	MULTIUSOS	AUTOMOVILES
189	7050	FORD	F-100, F-150 PICK UP	1	COMERCIAL
190	7184	FORD	F-600 4 X 2 CAJA REDILAS	6	CAMION
191	10	FORD	GRAND MARQUIS, MOD. (1999 Y ANT) LTD GALAXIE	LUJO	AUTOMOVILES
192	9	FORD	PINTO,MAVERICK,FAIRMONT, TOPAZ	COMPACTO	AUTOMOVILES
193	13	FORD	THUNDERBIRD	DEPORTIVO	AUTOMOVILES
194	11	FORD	COUGAR	DEPORTIVO	AUTOMOVILES
195	7057	FORD	F-350,F450,F550, ESTACAS,CHASIS CAB	3	COMERCIAL
199	7183	FORD	F-600 4 X 2 PLATAFORMA	6	CAMION
200	7186	FORD	F- 600 4 X 2 CAJA MUDANCERA	6	CAMION
201	7189	FORD	F-600,700,800 4 X 2 CAJA REDILAS	7	CAMION
203	7205	FORD	F-800 6 X 2 VOLTEO	8	CAMION
204	7203	FORD	F-800 6 X 2 CAJA SECA	8	CAMION
205	30	FORD	TAURUS	LUJO	AUTOMOVILES
207	49	FORD	AEROSTAR	MULTIUSOS	AUTOMOVILES
208	50	FORD	EXPLORER	MULTIUSOS	AUTOMOVILES
209	47	FORD	GHIA	COMPACTO	AUTOMOVILES
